Dataset	Random-mean	P-value
0	0.3929266	0.44623038385339175
1	0.3862608	0.3808263930551742
2	0.4057519	0.5896748959793238
3	0.3928302	0.44523815054419735
4	0.3849377	0.36862803428451596
5	0.3960412	0.479004254502405
6	0.3941671	0.45911801937499896
7	0.4066804	0.600885121406971
8	0.4013758	0.5382705932704164
9	0.3884578	0.4016584830900257
10	0.4010478	0.5345162275880542
11	0.3913348	0.4300186931620539
12	0.4048253	0.5785910793849365
13	0.3861392	0.37969437928109484
14	0.386811	0.3859759660418426
15	0.3765181	0.29714604151436286
16	0.3968453	0.48768822781461985
17	0.3981596	0.5020753604041073
18	0.4024971	0.5512110124584493
19	0.3921169	0.43793801944344324
20	0.3900999	0.41769640269282926
21	0.3991484	0.5130554349920822
22	0.3958409	0.476855172072411
23	0.400079	0.5235099289120946
24	0.3795069	0.3213066221384214
25	0.3979155	0.49938529781053376
26	0.4017081	0.5420885181469737
27	0.3883719	0.4008304968847768
28	0.3956285	0.4745824266961498
29	0.3920952	0.4377170910592194
30	0.3910978	0.4276365048781905
31	0.3831573	0.35262724874202644
32	0.4052273	0.5833869018698039
33	0.391776	0.43447521294028113
34	0.4034016	0.561767107385353
35	0.406872	0.6032111251057577
36	0.3834175	0.35493606566728253
37	0.401641	0.5413164206660148
38	0.3876061	0.39349738024582726
39	0.4065488	0.5992900181183807
40	0.3899101	0.4158223502837478
41	0.4084167	0.6221193868695916
42	0.4054155	0.5856388820360617
43	0.4145855	0.7002069499518131
44	0.3931861	0.448908047800309
45	0.4095665	0.6363694781407585
46	0.4084155	0.6221045919236805
47	0.382935	0.3506627709686886
48	0.3954768	0.47296308014573274
49	0.4021557	0.5472538475334501
50	0.4089834	0.6291244039054346
51	0.4095715	0.6364317656915034
52	0.3801234	0.3264560989057399
53	0.3967829	0.4870111032709403
54	0.3716673	0.2607437997280941
55	0.3989734	0.5111024855972193
56	0.4110831	0.6553864421652391
57	0.3848646	0.3679617210033167
58	0.3903974	0.42064452321353885
59	0.3886502	0.4035169853780062
60	0.3857833	0.37639388380588334
61	0.3853991	0.3728521953124555
62	0.3924716	0.44155891696699945
63	0.3984955	0.5057904183197649
64	0.3897005	0.41375895764659354
65	0.3861854	0.3801242099464478
66	0.3927451	0.44436334224327145
67	0.3879897	0.39715975654727853
68	0.3911865	0.4285271055914587
69	0.3970817	0.4902583961673014
70	0.4045226	0.5749929813180199
