Dataset	Random-mean	P-value
0	0.1945072	9.741162401624386e-07
1	0.1944821	9.786482144564248e-07
2	0.189406	2.5169247503110146e-06
3	0.1912135	1.7956660368742962e-06
4	0.190419	2.0826260048677802e-06
5	0.1904015	2.0894442208515457e-06
6	0.1998185	3.674249545179931e-07
7	0.2080436	8.372566917391254e-08
8	0.2013381	2.78754618992216e-07
9	0.194878	9.095920561524836e-07
10	0.197298	5.825364747073513e-07
11	0.1834026	7.793522653527924e-06
12	0.2003986	3.3060841672686363e-07
13	0.1955704	8.004717909512618e-07
14	0.200214	3.4189842829401564e-07
15	0.2019529	2.4937547022887884e-07
16	0.2025558	2.2362085550191773e-07
17	0.1970587	6.08698045792639e-07
18	0.1992574	4.070031209034451e-07
19	0.1961421	7.2044096607123e-07
20	0.2006257	3.172374907394392e-07
21	0.1932672	1.2256133615985781e-06
22	0.2027399	2.1630884595523238e-07
23	0.2019918	2.4762613149600846e-07
24	0.1893115	2.5618469745058516e-06
25	0.1963934	6.878787996125264e-07
26	0.1934549	1.18368208739232e-06
27	0.1894853	2.479843391600725e-06
28	0.1950869	8.751672942629742e-07
29	0.2015772	2.66931759092972e-07
30	0.200058	3.5174449303900184e-07
31	0.1946325	9.518087767367595e-07
32	0.2008797	3.0293268499913584e-07
33	0.1884836	2.9917674231536196e-06
34	0.1945188	9.72028978625813e-07
35	0.1973185	5.80349093364649e-07
36	0.1999208	3.606420576335714e-07
37	0.1988774	4.362436344585146e-07
38	0.1903653	2.103619971145623e-06
39	0.1923969	1.4406042426649814e-06
40	0.1925924	1.3891980652364086e-06
41	0.2031431	2.0113285166040167e-07
42	0.1933016	1.2178174247382349e-06
43	0.1926961	1.3626888294423932e-06
44	0.1879215	3.324581784841123e-06
45	0.1935469	1.1636637151733582e-06
46	0.1961619	7.178195403623792e-07
47	0.200333	3.3457639418418257e-07
48	0.2009075	3.014073977816196e-07
49	0.2053215	1.3599280501475984e-07
50	0.1975859	5.525692643891943e-07
51	0.1998983	3.6212289571698876e-07
52	0.205211	1.3871015170904137e-07
53	0.1980012	5.120753235609587e-07
54	0.2027245	2.1691106123601595e-07
55	0.1868533	4.063790638827255e-06
56	0.1906551	1.9928092917895543e-06
57	0.1916049	1.6693606711370773e-06
58	0.2014471	2.733001769645872e-07
59	0.1930941	1.2656168399164939e-06
60	0.2036144	1.847599735655571e-07
61	0.1904038	2.088546824661955e-06
62	0.1961866	7.145629438652457e-07
63	0.1984538	4.713650797322308e-07
64	0.1989453	4.308663923814859e-07
65	0.1899317	2.2811761847921684e-06
66	0.1918835	1.5849709011104904e-06
67	0.1983797	4.777979240927751e-07
68	0.1994568	3.9246441892350117e-07
69	0.1968575	6.316158604471017e-07
70	0.1992426	4.08103803145717e-07
71	0.2011625	2.8777570105305097e-07
72	0.1981744	4.960904702847683e-07
73	0.1812503	1.171838755969827e-05
74	0.1960683	7.302976290310892e-07
75	0.1925196	1.4081198359914129e-06
76	0.1980567	5.068969822381772e-07
77	0.200703	3.1281283246486837e-07
78	0.1958225	7.641245037275085e-07
79	0.2106403	5.293559784394404e-08
80	0.2008451	3.0484203418387485e-07
81	0.2032263	1.9813867840221457e-07
82	0.1955233	8.074546804211597e-07
83	0.1915871	1.6749045902563405e-06
84	0.2044754	1.5826603394674501e-07
85	0.1860451	4.731717133250322e-06
86	0.1962561	7.05479870673892e-07
87	0.2060609	1.1915243266754947e-07
88	0.2026293	2.2067191258453315e-07
89	0.1968392	6.337433195346235e-07
90	0.1909857	1.8735890939514567e-06
91	0.1940651	1.0571481664456037e-06
92	0.1942224	1.0268128694803145e-06
93	0.1956376	7.90614869027507e-07
94	0.1886303	2.9105890788448113e-06
95	0.1971837	5.948868445412967e-07
96	0.2012939	2.8099785583358804e-07
97	0.1982387	4.902859729083447e-07
98	0.2027002	2.1786478236846285e-07
99	0.1862552	4.5480930061058875e-06
100	0.1951291	8.683751860526595e-07
101	0.2038481	1.7715105808621262e-07
102	0.1944049	9.927216675738184e-07
103	0.2042688	1.6424803820858476e-07
104	0.1938862	1.0927554075872448e-06
105	0.1881491	3.185533410036667e-06
106	0.2047189	1.5149960950253794e-07
107	0.1946613	9.467550925249187e-07
108	0.1981902	4.946577329863934e-07
109	0.2020992	2.4286087326911225e-07
110	0.1951542	8.643607163491363e-07
111	0.1846432	6.164184946312367e-06
112	0.1931355	1.2559304717856637e-06
113	0.2004725	3.261956636604778e-07
114	0.1896452	2.4067444413178185e-06
115	0.2042538	1.6469122018506064e-07
116	0.197068	6.076593732885903e-07
117	0.1944017	9.93309433181311e-07
118	0.1902177	2.1624341520652995e-06
119	0.1894005	2.5195173007943346e-06
120	0.1924967	1.4141257014932951e-06
121	0.1972221	5.907082574287906e-07
122	0.195472	8.151305941164397e-07
123	0.1906668	1.988461754637861e-06
124	0.1966141	6.605152040021499e-07
125	0.196208	7.117535647539932e-07
126	0.198796	4.4277995869971084e-07
127	0.2076874	8.918932006932161e-08
128	0.1938522	1.0996588778004144e-06
129	0.1942462	1.0223005365779441e-06
130	0.1939993	1.0701057927913138e-06
131	0.1889811	2.7253808226179227e-06
132	0.1846768	6.125191880575696e-06
133	0.1965183	6.722546568795382e-07
134	0.1989173	4.3307560391231695e-07
135	0.1883577	3.063258986618169e-06
136	0.2083702	7.901610092354808e-08
137	0.2003476	3.336891083603571e-07
138	0.191871	1.5886630028325226e-06
139	0.2060723	1.1891012632453181e-07
140	0.2041886	1.6663177822086545e-07
141	0.206341	1.1334201569142884e-07
142	0.1976084	5.502942664817824e-07
143	0.1894776	2.483419624306848e-06
144	0.1878476	3.371036475926507e-06
145	0.1976802	5.430979051696086e-07
146	0.1834581	7.712105765917847e-06
147	0.2003188	3.3544167195117037e-07
148	0.1953534	8.331611516682585e-07
149	0.199994	3.5586685142519046e-07
150	0.1889794	2.7262489942484253e-06
151	0.2005122	3.238498527333234e-07
152	0.1938822	1.0935652947320797e-06
153	0.1928299	1.3292406923110785e-06
154	0.1854277	5.31579733592353e-06
155	0.1872896	3.743653810189724e-06
156	0.2006256	3.172432557760976e-07
157	0.2003213	3.352891694608959e-07
158	0.1973384	5.782337105035657e-07
159	0.1912668	1.7779124847090618e-06
160	0.1916019	1.6702937358336464e-06
161	0.185443	5.3004784899404705e-06
162	0.1944693	9.809675673422892e-07
163	0.1966082	6.61232146925551e-07
164	0.1852944	5.451165935661641e-06
165	0.2005114	3.2389695372925216e-07
166	0.1987401	4.473262176386669e-07
167	0.1924533	1.4255792933479742e-06
168	0.1971873	5.944938302427481e-07
169	0.1922183	1.4892500408187369e-06
170	0.1936346	1.14490048781023e-06
171	0.1919156	1.5755293469902503e-06
